Teaching evaluation data aggregated by department and broken down by sex, instructor type, and question Note: Only contains data from classes with enrollment of at least 40 (top quartile of class size)  If you are interested in viewing data for individual instructors or for individual courses, please reach out to Madeline Endres (endremad@umich.edu) and Westley Weimer (weimerw@umich.edu)												
Department of the data for any given row. See Sheet 2 for decoding these	Instructor Type: Professor, Not a Professer (e.g., TA), or All (Professor and Not a Professor) 	The sex of instructors in this row	The teaching evaluation question (or questions) considered in this row	The number of instructors aggregated in this row	Number of "Strong Disagree" ratings 	Number of "Disagree" ratings 	Number of "Neutral" ratings 	Number of "Agree" ratings 	Number of "Strong Agree" ratings 	Number of "Not Applicable" ratings 	Total number of ratings (not including NA ratings)	Average evaluation score for teachers aggregated in this row.  Note: Calculated by first calculating the score for each teacher using an Interpolated Median (http://aec.umich.edu/median.php). These scores are then averaged. Thus, this column will not equal the Interpolated Median of the raw data in columns SD-SA)
CHEM	Not a Professor	Male	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	All	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Male	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	All	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Male	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	All	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Male	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	All	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CHEM	Not a Professor	Male	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	All	Male	All Questions	3	61	137	388	1007	1409	70	3002	4.369515622
CLIMATE	Professor	Male	All Questions	3	61	137	388	1007	1409	70	3002	4.369515622
CLIMATE	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	8	14	43	113	203	2	381	4.419246819
CLIMATE	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	8	14	43	113	203	2	381	4.419246819
CLIMATE	All	Male	My interest in the subject has increased because of this course.	3	19	44	89	133	91	8	376	3.729386987
CLIMATE	Professor	Male	My interest in the subject has increased because of this course.	3	19	44	89	133	91	8	376	3.729386987
CLIMATE	All	Male	Overall, the instructor was an excellent teacher.	3	5	12	45	125	186	12	373	4.394794585
CLIMATE	Professor	Male	Overall, the instructor was an excellent teacher.	3	5	12	45	125	186	12	373	4.394794585
CLIMATE	All	Male	Overall, this was an excellent course	3	14	26	71	149	120	2	380	4.014497116
CLIMATE	Professor	Male	Overall, this was an excellent course	3	14	26	71	149	120	2	380	4.014497116
CLIMATE	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	4	17	33	117	197	17	368	4.447425482
CLIMATE	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	4	17	33	117	197	17	368	4.447425482
CLIMATE	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	1	2	23	99	246	14	371	4.751589974
CLIMATE	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	1	2	23	99	246	14	371	4.751589974
CLIMATE	All	Male	The instructor treated students with respect.	3	1	1	21	106	244	10	373	4.730301648
CLIMATE	Professor	Male	The instructor treated students with respect.	3	1	1	21	106	244	10	373	4.730301648
CLIMATE	All	Male	This course advanced my understanding of the subject matter.	3	9	21	63	165	122	5	380	4.104357298
CLIMATE	Professor	Male	This course advanced my understanding of the subject matter.	3	9	21	63	165	122	5	380	4.104357298
CLIMATE	All	Female	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Professor	Female	All Questions	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	All	Female	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Professor	Female	My interest in the subject has increased because of this course.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	All	Female	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Professor	Female	Overall, the instructor was an excellent teacher.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	All	Female	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Professor	Female	Overall, this was an excellent course	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	All	Female	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Professor	Female	The instructor treated students with respect.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	All	Female	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Professor	Female	This course advanced my understanding of the subject matter.	1	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Male	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Female	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Male	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Male	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Male	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Male	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
CLIMATE	Not a Professor	Male	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
EECS	All	Male	All Questions	104	966	1769	5706	16218	27091	6329	51750	4.396595986
EECS	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	104	107	260	1037	2443	3321	135	7168	4.230237659
EECS	All	Male	My interest in the subject has increased because of this course.	104	265	475	970	2404	3072	120	7186	4.181573714
EECS	All	Male	Overall, the instructor was an excellent teacher.	104	99	183	677	1722	3109	1428	5790	4.378169418
EECS	All	Male	Overall, this was an excellent course	104	191	378	968	2451	3191	123	7179	4.185982529
EECS	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	104	106	172	664	1633	3180	1455	5755	4.387149996
EECS	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	104	62	113	475	1528	3497	1537	5675	4.502741918
EECS	All	Male	The instructor treated students with respect.	104	49	61	431	1408	3845	1412	5794	4.66280752
EECS	All	Male	This course advanced my understanding of the subject matter.	104	87	127	484	2629	3876	119	7203	4.459843293
EECS	Not a Professor	Male	All Questions	56	344	645	2340	6682	9981	5056	19992	4.345378055
EECS	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	56	44	124	438	1018	1435	107	3059	4.184232453
EECS	Not a Professor	Male	My interest in the subject has increased because of this course.	56	106	184	427	1073	1284	94	3074	4.104435807
EECS	Not a Professor	Male	Overall, the instructor was an excellent teacher.	56	28	45	235	656	997	1138	1961	4.360220008
EECS	Not a Professor	Male	Overall, this was an excellent course	56	73	154	412	1040	1389	97	3068	4.131441623
EECS	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	56	31	40	228	592	1036	1165	1927	4.387268532
EECS	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	56	17	36	210	574	1012	1242	1849	4.43093423
EECS	Not a Professor	Male	The instructor treated students with respect.	56	10	14	172	547	1226	1120	1969	4.642151021
EECS	Not a Professor	Male	This course advanced my understanding of the subject matter.	56	35	48	218	1182	1602	93	3085	4.402282445
EECS	Professor	Male	All Questions	48	622	1124	3366	9536	17110	1273	31758	4.45635024
EECS	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	48	63	136	599	1425	1886	28	4109	4.283910399
EECS	Professor	Male	My interest in the subject has increased because of this course.	48	159	291	543	1331	1788	26	4112	4.271567939
EECS	Professor	Male	Overall, the instructor was an excellent teacher.	48	71	138	442	1066	2112	290	3829	4.399110396
EECS	Professor	Male	Overall, this was an excellent course	48	118	224	556	1411	1802	26	4111	4.249613586
EECS	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	48	75	132	436	1041	2144	290	3828	4.387011705
EECS	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	48	45	77	265	954	2485	295	3826	4.586517553
EECS	Professor	Male	The instructor treated students with respect.	48	39	47	259	861	2619	292	3825	4.68690677
EECS	Professor	Male	This course advanced my understanding of the subject matter.	48	52	79	266	1447	2274	26	4118	4.526997616
EECS	All	Female	All Questions	33	936	1584	4321	10193	10668	5537	27702	4.244605375
EECS	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	33	105	283	723	1530	1415	121	4056	4.117995203
EECS	All	Female	My interest in the subject has increased because of this course.	33	271	452	755	1354	1206	127	4038	3.921140818
EECS	All	Female	Overall, the instructor was an excellent teacher.	33	76	110	524	1086	1102	1239	2898	4.258030615
EECS	All	Female	Overall, this was an excellent course	33	261	353	853	1400	1182	121	4049	3.926813137
EECS	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	33	60	137	495	1046	1112	1286	2850	4.288666029
EECS	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	33	37	63	293	1056	1400	1292	2849	4.468614364
EECS	All	Female	The instructor treated students with respect.	33	35	32	256	915	1659	1230	2897	4.610993389
EECS	All	Female	This course advanced my understanding of the subject matter.	33	91	154	422	1806	1592	121	4065	4.262581308
EECS	Not a Professor	Female	All Questions	22	516	778	2406	5535	5772	5190	15007	4.273281834
EECS	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	22	65	161	415	871	922	112	2434	4.160782057
EECS	Not a Professor	Female	My interest in the subject has increased because of this course.	22	154	251	433	798	786	114	2422	3.962380588
EECS	Not a Professor	Female	Overall, the instructor was an excellent teacher.	22	26	28	259	517	507	1170	1337	4.349636071
EECS	Not a Professor	Female	Overall, this was an excellent course	22	154	187	487	818	781	111	2427	3.990212161
EECS	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	22	25	33	221	488	539	1203	1306	4.415463183
EECS	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	22	20	27	180	504	565	1213	1296	4.462057938
EECS	Not a Professor	Female	The instructor treated students with respect.	22	16	7	158	476	686	1155	1343	4.592831667
EECS	Not a Professor	Female	This course advanced my understanding of the subject matter.	22	56	84	253	1063	986	112	2442	4.277455417
EECS	Professor	Female	All Questions	11	420	806	1915	4658	4896	347	12695	4.187252457
EECS	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	11	40	122	308	659	493	9	1622	4.032421496
EECS	Professor	Female	My interest in the subject has increased because of this course.	11	117	201	322	556	420	13	1616	3.83866128
EECS	Professor	Female	Overall, the instructor was an excellent teacher.	11	50	82	265	569	595	69	1561	4.074819704
EECS	Professor	Female	Overall, this was an excellent course	11	107	166	366	582	401	10	1622	3.800015089
EECS	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	11	35	104	274	558	573	83	1544	4.035071721
EECS	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	11	17	36	113	552	835	79	1553	4.481727217
EECS	Professor	Female	The instructor treated students with respect.	11	19	25	98	439	973	75	1554	4.647316834
EECS	Professor	Female	This course advanced my understanding of the subject matter.	11	35	70	169	743	606	9	1623	4.23283309
ENGR	All	Male	All Questions	21	344	694	1802	5208	6592	401	14640	4.286784599
ENGR	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	21	44	104	250	654	822	8	1874	4.131642137
ENGR	All	Male	My interest in the subject has increased because of this course.	21	99	141	344	634	637	26	1855	4.004550222
ENGR	All	Male	Overall, the instructor was an excellent teacher.	21	31	69	251	662	782	83	1795	4.214476617
ENGR	All	Male	Overall, this was an excellent course	21	78	159	306	710	620	8	1873	3.974127694
ENGR	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	21	28	73	214	623	843	101	1781	4.286525188
ENGR	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	21	12	36	138	596	1009	87	1791	4.530368303
ENGR	All	Male	The instructor treated students with respect.	21	15	33	109	551	1097	71	1805	4.575874254
ENGR	All	Male	This course advanced my understanding of the subject matter.	21	37	79	190	778	782	17	1866	4.304101298
ENGR	Professor	Male	All Questions	20	318	654	1607	4679	6059	263	13317	4.288269386
ENGR	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	20	42	101	236	603	711	7	1693	4.103990009
ENGR	Professor	Male	My interest in the subject has increased because of this course.	20	95	131	296	569	589	19	1680	4.010162348
ENGR	Professor	Male	Overall, the instructor was an excellent teacher.	20	27	68	218	596	734	52	1643	4.221412569
ENGR	Professor	Male	Overall, this was an excellent course	20	73	148	275	627	568	7	1691	3.971328054
ENGR	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	20	25	71	200	563	779	61	1638	4.282101448
ENGR	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	20	10	34	124	536	934	58	1638	4.533136718
ENGR	Professor	Male	The instructor treated students with respect.	20	13	33	97	492	1012	46	1647	4.576138555
ENGR	Professor	Male	This course advanced my understanding of the subject matter.	20	33	68	161	693	732	13	1687	4.317541658
ENGR	All	Female	All Questions	11	131	217	597	1895	2472	229	5312	4.367874561
ENGR	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	11	30	43	100	263	255	4	691	4.03726966
ENGR	All	Female	My interest in the subject has increased because of this course.	11	39	58	106	239	244	5	686	4.042721674
ENGR	All	Female	Overall, the instructor was an excellent teacher.	11	3	19	80	254	282	52	638	4.439818807
ENGR	All	Female	Overall, this was an excellent course	11	34	43	117	222	275	4	691	4.06895886
ENGR	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	11	6	15	67	238	311	53	637	4.50912718
ENGR	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	11	2	9	46	218	359	58	634	4.654493071
ENGR	All	Female	The instructor treated students with respect.	11	0	10	29	190	414	48	643	4.709762908
ENGR	All	Female	This course advanced my understanding of the subject matter.	11	17	20	52	271	332	5	692	4.329429985
ENGR	Professor	Female	All Questions	10	131	217	584	1798	2260	156	4990	4.330605413
ENGR	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	10	30	43	99	252	216	4	640	3.956381242
ENGR	Professor	Female	My interest in the subject has increased because of this course.	10	39	58	99	220	219	5	635	3.999625421
ENGR	Professor	Female	Overall, the instructor was an excellent teacher.	10	3	19	78	242	267	34	609	4.430467354
ENGR	Professor	Female	Overall, this was an excellent course	10	34	43	115	208	240	4	640	3.998711888
ENGR	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	10	6	15	67	228	291	35	607	4.485039898
ENGR	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	10	2	9	46	209	339	39	605	4.642442378
ENGR	Professor	Female	The instructor treated students with respect.	10	0	10	28	182	393	30	613	4.70216777
ENGR	Professor	Female	This course advanced my understanding of the subject matter.	10	17	20	52	257	295	5	641	4.281291902
